,avg_raid_point,avg_tackle_points,dod_raid_points,high_5s,matches_played,player_id,player_name,raid_points,successful_raids,successful_tackles,super_10s,super_raids,super_tackles,tackle_points,team_name,total_points
266,1.6,,2,,5,644,Anand Surendra Tomar,8,7,1,,,,1,Haryana Steelers,9
267,,1.29,,1,7,184,Deepak Kumar,,,7,,,2,9,Bengal Warriors,9
268,1.5,,1,,6,2278,Bhanu Pratap Tomar,9,6,,,,,,U.P. Yoddha,9
269,0,0.69,,,13,2471,Ankit,,,8,,,1,9,Bengaluru Bulls,9
270,,1.33,,1,6,765,Anil Kumar,1,,8,,,,8,Tamil Thalaivas,9
271,4,,,,2,2376,Emad Sedaghatnia,8,5,,,,,,Puneri Paltan,8
272,1,,,,7,2322,Ankit Beniwal,7,5,1,,,,1,Telugu Titans,8
273,,0.38,,,16,2353,Ajay,2,1,6,,,,6,Bengaluru Bulls,8
274,,0.89,,,9,481,Saeid Ghaffari,,,8,,,,8,Dabang Delhi K.C.,8
275,,1.14,,,7,694,Deepak Yadav,,,7,,,1,8,Puneri Paltan,8
276,2,,1,,4,689,Mohan Raman G,8,4,,,,,,U Mumba,8
277,4,,3,,2,244,Ravi V.,8,5,,,,,,Puneri Paltan,8
278,,2,,,4,246,Harvinder Singh,,,7,,,1,8,Puneri Paltan,8
279,0.67,0.22,1,,9,267,Amit Kumar Tomar,6,3,2,,,,2,Dabang Delhi K.C.,8
280,1.6,,6,,5,285,Anil Kashinath Patil,8,6,,,,,,Jaipur Pink Panthers,8
281,1,0.25,,,8,278,Gnanasekaran M,5,3,1,,,1,2,Dabang Delhi K.C.,7
282,2,,2,,3,2321,Ankush,6,4,1,,,,1,U.P. Yoddha,7
283,2.33,,2,,4,2266,Mahesh Maruti Magdum,7,5,,,,,,Bengaluru Bulls,7
284,,0.67,,,9,2514,Chand Singh,1,1,5,,,1,6,Haryana Steelers,7
285,,1.4,,,5,2662,Sanket Sawant,,,7,,,,7,Puneri Paltan,7
286,1,,,,6,2315,Bhuvneshwar Gaur,6,3,,,,,,Haryana Steelers,6
287,,0.71,,,7,2336,Anuj Kumar,1,1,4,,,1,5,Telugu Titans,6
288,0.86,,,,7,266,David Shilisia J Mosambayi,6,2,,,,,,Jaipur Pink Panthers,6
289,1,,1,,5,738,Rahul Choudhary,5,4,1,,,,1,Jaipur Pink Panthers,6
290,1,,,,6,380,Vikash Kumar,6,4,,,,,,U Mumba,6
291,0.25,0.83,,,6,178,Parveen M. Jangra,1,1,5,,,,5,Bengal Warriors,6
292,1.67,,1,,3,21,Sinotharan Kanesharajah,5,2,1,,1,,1,Bengaluru Bulls,6
293,0.5,0.25,,,8,4,Ehsan Zamani Fard,4,3,2,,,,2,Dabang Delhi K.C.,6
294,,0.25,,,4,19,Wajid Ali,4,3,1,,,,1,Telugu Titans,5
295,1,0,,,7,68,Mandeep Kumar,5,2,,,1,,,Patna Pirates,5
296,0.75,0.5,,,4,80,Punit Kumar Teotia,3,2,2,,,,2,Dabang Delhi K.C.,5
297,,0.56,,,9,151,Vikas Tomar,,,4,,,1,5,Puneri Paltan,5
298,,0.63,,,8,208,Varinder Singh,,,5,,,,5,Patna Pirates,5
299,,0.56,,,9,236,T. Prasad,,,5,,,,5,Telugu Titans,5
300,0.6,,,,6,608,Prateek,3,1,2,,,,2,Haryana Steelers,5
301,,1.25,,,4,741,Vikash,,,5,,,,5,Bengal Warriors,5
302,,0.71,,,7,283,Jagdeesha K.K.,,,5,,,,5,Jaipur Pink Panthers,5
303,0.71,,3,,7,260,Vijay Malik,5,4,,,,,,Patna Pirates,5
304,1.67,,,,4,2314,Dharmender,5,2,,,1,,,Gujarat Fortunegiants,5
305,,0.45,,,11,793,Amit Kharb,,,3,,,2,5,Gujarat Fortunegiants,5
306,,1,,,5,751,Gurvinder Singh,,,5,,,,5,U.P. Yoddha,5
307,1.25,,,,4,2666,Harmanjit Singh,5,5,,,,,,Gujarat Fortunegiants,5
308,1.67,,,,3,2507,Amit Kumar,5,3,,,1,,,Patna Pirates,5
309,0.71,,1,,7,2504,Ashish,5,3,,,,,,Patna Pirates,5
310,,1.33,,,3,2665,Elavarasan A,,,3,,,1,4,Jaipur Pink Panthers,4
311,,0.31,,,13,2328,Sudhanshu Tyagi,,,4,,,,4,Haryana Steelers,4
312,0.75,,,,4,2474,Aman Kadian,3,2,1,,,,1,Dabang Delhi K.C.,4
313,0.8,,1,,6,2478,Purna Singh,4,3,,,,,,Patna Pirates,4
314,,,1,,2,730,Rohit,4,3,,,,,,Bengaluru Bulls,4
315,,1,,,4,690,E Subash,,,3,,,1,4,U Mumba,4
316,0.33,,,,7,599,Lokesh Kaushik,2,2,2,,,,2,Jaipur Pink Panthers,4
317,,1.33,,,3,223,Rajeev Kumar,,,4,,,,4,Dabang Delhi K.C.,4
318,0.25,0.75,,,4,154,Gurchet Singh,1,1,3,,,,3,Bengaluru Bulls,4
319,,,,,5,113,Sunil Hanumanthappa,2,1,2,,,,2,Bengaluru Bulls,4
320,,,1,,2,23,Dovlet Boshimov,4,3,,,,,,Patna Pirates,4
321,,0.38,,,8,77,Parveen Kumar,,,2,,,1,3,Bengal Warriors,3
322,0.75,,,,4,647,Gulveer Singh,3,1,,,,,,U.P. Yoddha,3
323,,0.5,,,2,640,Sanoj Kumar,2,2,1,,,,1,U.P. Yoddha,3
324,,0.14,,,7,712,Rohit Kumar,2,1,1,,,,1,U.P. Yoddha,3
325,0.75,,1,,4,660,Bhavani Rajput,3,1,,,,,,Tamil Thalaivas,3
326,,,,,3,746,Vikrant,3,1,,,,,,Telugu Titans,3
327,,,,,2,250,Hyunil Park,2,1,1,,,,1,Telugu Titans,3
328,0.75,,,,4,2318,Arun Kumar HN,3,2,,,,,,Haryana Steelers,3
329,1,,2,,3,2302,Mithin Kumar,3,2,,,,,,Bengal Warriors,3
330,,0.3,,,10,790,Satish,,,3,,,,3,Patna Pirates,3
331,,1,,,3,776,Muruthu M,,,3,,,,3,Tamil Thalaivas,3
332,,0.3,,,10,792,Tushar Balaram Bhoir,,,2,,,1,3,Dabang Delhi K.C.,3
333,1,,3,,3,2021,Anand V,3,3,,,,,,Bengaluru Bulls,3
334,,,1,,3,2262,Md. Masud Karim,3,2,,,,,,U.P. Yoddha,3
335,,0.6,,,5,2644,Ravinder,,,2,,,1,3,Patna Pirates,3
336,,,,,3,2493,Himanshu,2,1,1,,,,1,Tamil Thalaivas,3
337,,,2,,2,2669,Balram,2,1,,,,,,Dabang Delhi K.C.,2
338,0.67,,,,3,2683,Palle Mallikarjun,2,2,,,,,,Telugu Titans,2
339,,,,,2,2041,Gurdeep,,,2,,,,2,U.P. Yoddha,2
340,0.67,,,,3,2313,Gaurav Kumar,2,2,,,,,,U Mumba,2
341,0.67,,,,3,2282,Yashwant Bishnoi,2,2,,,,,,Tamil Thalaivas,2
