,Date,Time,Status,Team 1,Team 2,Score,Result,Year
100,"Friday, 07 December",21:00 (IST),Match 101 - Completed ,Patna,Puneri,53  - 36,Patna Pirates beat Puneri Paltan (53-36),2018
101,"Saturday, 08 December",20:00 (IST),Match 102 - Completed ,U,Bengal,31  - 20,U Mumba beat Bengal Warriors (31-20),2018
102,"Saturday, 08 December",21:00 (IST),Match 103 - Completed ,Telugu,Jaipur,36  - 26,Telugu Titans beat Jaipur Pink Panthers (36-26),2018
103,"Sunday, 09 December",20:00 (IST),Match 104 - Completed ,Tamil,Jaipur,24  - 37,Jaipur Pink Panthers beat Tamil Thalaivas (37-24),2018
104,"Sunday, 09 December",21:00 (IST),Match 105 - Completed ,Telugu,Haryana,35  - 31,Telugu Titans beat Haryana Steelers (35-31),2018
105,"Tuesday, 11 December",20:00 (IST),Match 106 - Completed ,Dabang,U,19  - 44,U Mumba beat Dabang Delhi K.C. (44-19),2018
106,"Tuesday, 11 December",21:00 (IST),Match 107 - Completed ,Telugu,U.P.,20  - 27,U.P. Yoddha beat Telugu Titans (27-20),2018
107,"Wednesday, 12 December",20:00 (IST),Match 108 - Completed ,Haryana,Gujarat,37  - 47,Gujarat Fortunegiants beat Haryana Steelers (47-37),2018
108,"Wednesday, 12 December",21:00 (IST),Match 109 - Completed ,Telugu,Bengaluru,24  - 37,Bengaluru Bulls beat Telugu Titans (37-24),2018
109,"Thursday, 13 December",20:00 (IST),Match 110 - Completed ,Telugu,Patna,41  - 36,Telugu Titans beat Patna Pirates (41-36),2018
110,"Friday, 14 December",20:00 (IST),Match 111 - Completed ,Jaipur,Puneri,36  - 23,Jaipur Pink Panthers beat Puneri Paltan (36-23),2018
111,"Friday, 14 December",21:00 (IST),Match 112 - Completed ,Bengal,Tamil,28  - 21,Bengal Warriors beat Tamil Thalaivas (28-21),2018
112,"Saturday, 15 December",20:00 (IST),Match 113 - Completed ,U.P.,Tamil,25  - 25,Match Tied,2018
113,"Saturday, 15 December",21:00 (IST),Match 114 - Completed ,Jaipur,U,35  - 35,Match Tied,2018
114,"Sunday, 16 December",20:00 (IST),Match 115 - Completed ,Patna,U.P.,31  - 47,U.P. Yoddha beat Patna Pirates (47-31),2018
115,"Sunday, 16 December",21:00 (IST),Match 116 - Completed ,Jaipur,Gujarat,29  - 34,Gujarat Fortunegiants beat Jaipur Pink Panthers (34-29),2018
116,"Tuesday, 18 December",20:00 (IST),Match 117 - Completed ,Bengaluru,Telugu,44  - 28,Bengaluru Bulls beat Telugu Titans (44-28),2018
117,"Tuesday, 18 December",21:00 (IST),Match 118 - Completed ,Jaipur,Haryana,39  - 30,Jaipur Pink Panthers beat Haryana Steelers (39-30),2018
118,"Wednesday, 19 December",20:00 (IST),Match 119 - Completed ,Patna,Bengaluru,40  - 40,Match Tied,2018
119,"Wednesday, 19 December",21:00 (IST),Match 120 - Completed ,Jaipur,Gujarat,31  - 33,Gujarat Fortunegiants beat Jaipur Pink Panthers (33-31),2018
120,"Thursday, 20 December",20:00 (IST),Match 121 - Completed ,Jaipur,Dabang,37  - 37,Match Tied,2018
121,"Friday, 21 December",20:00 (IST),Match 122 - Completed ,Bengal,Tamil,27  - 24,Bengal Warriors beat Tamil Thalaivas (27-24),2018
122,"Friday, 21 December",21:00 (IST),Match 123 - Completed ,Puneri,Telugu,35  - 20,Puneri Paltan beat Telugu Titans (35-20),2018
123,"Saturday, 22 December",20:00 (IST),Match 124 - Completed ,U,U.P.,32  - 34,U.P. Yoddha beat U Mumba (34-32),2018
124,"Saturday, 22 December",21:00 (IST),Match 125 - Completed ,Bengal,Patna,39  - 23,Bengal Warriors beat Patna Pirates (39-23),2018
125,"Sunday, 23 December",20:00 (IST),Match 126 - Completed ,Bengal,Dabang,31  - 37,Dabang Delhi K.C. beat Bengal Warriors (37-31),2018
126,"Tuesday, 25 December",20:00 (IST),Match 127 - Completed ,Haryana,Tamil,40  - 40,Match Tied,2018
127,"Tuesday, 25 December",21:00 (IST),Match 128 - Completed ,Bengal,Telugu,39  - 34,Bengal Warriors beat Telugu Titans (39-34),2018
128,"Wednesday, 26 December",20:00 (IST),Match 129 - Completed ,Gujarat,Patna,37  - 29,Gujarat Fortunegiants beat Patna Pirates (37-29),2018
129,"Wednesday, 26 December",21:00 (IST),Match 130 - Completed ,Bengal,Bengaluru,37  - 31,Bengal Warriors beat Bengaluru Bulls (37-31),2018
130,"Thursday, 27 December",20:00 (IST),Match 131 - Completed ,Jaipur,Bengaluru,32  - 40,Bengaluru Bulls beat Jaipur Pink Panthers (40-32),2018
131,"Thursday, 27 December",21:00 (IST),Match 132 - Completed ,Bengal,U.P.,25  - 41,U.P. Yoddha beat Bengal Warriors (41-25),2018
132,"Sunday, 30 December",20:00 (IST),Eliminator 1 - Completed ,U,U.P.,29  - 34,U.P. Yoddha beat U Mumba (34-29),2018
